"season","genotype","max_height_cm","min_height_cm","max_growth_cm_gdd","r2","method","method_type"
"season_4","PI167093",374.001722223826,11.8915315583223,0.312743790276011,0.990713659222871,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI170787",303.387767300785,6.33336144640812,0.343833307360766,0.991543849367052,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI175919",286.213930021241,4.92089246413861,0.357171486783359,0.994426716875487,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI176766",343.112710028676,5.60370795757136,0.411684828933473,0.99167860041398,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI179749",274.358015691901,8.69889330523399,0.298715774803068,0.972131627728265,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI180348",222.347865261132,8.00713107161845,0.275966667189842,0.979263621343727,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI196049",338.612917479025,16.2664178720995,0.250317527695943,0.979019362151294,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI196583",296.319783592185,5.29088170310195,0.331219484880892,0.985997106727286,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI196586",331.087701150537,7.2077785763157,0.371653513747139,0.992336409462214,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI196598",285.391577832125,6.63397665478405,0.323906313635615,0.995133371459565,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI197542",295.731733706489,17.9181382199629,0.249480807708122,0.950263270309755,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI19770",318.128000202632,6.89421554457496,0.367681495342606,0.986765735567573,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI217691",342.182152880396,13.2328610876502,0.242536492348652,0.999999662657353,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI218112",334.305406536814,19.383197582689,0.28270618784106,0.967746170794036,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI221548",312.236271842328,6.80492834063137,0.317452095754387,0.982426878098597,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI251672",326.845061923507,7.38396632885276,0.335841549693689,0.993661539936266,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI257599",328.413276646437,10.7566436175256,0.315238088575473,0.992483368012764,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI257600",314.887822582038,9.76102777416548,0.308977439650097,0.989090802127762,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI266927",377.208215280011,13.0477198271036,0.300881949661989,0.991639967019383,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI267573",359.581091289127,10.5409070792009,0.302119492756992,0.986460332313121,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI273969",355.806992112878,8.68413849043333,0.354700032849993,0.995312426247816,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI276837",383.863284337053,13.9225112983593,0.328118111953762,0.99183287732121,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI302252",291.456792613132,3.50949581500247,0.367335321351305,0.998991551590705,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI303658",319.641104885308,8.52534049049983,0.322286659820316,0.978698952065894,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI329256",328.584616903696,13.0644633412113,0.273267757839185,0.986457225197462,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI329286",375.96031315754,13.5991088777325,0.273135068393229,0.986610689700827,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI329300",358.871166662612,13.3382577078193,0.307116171007292,0.987396717500604,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI329310",268.984177708118,4.24495915442868,0.363301240117185,0.989867708848593,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI329319",317.205534140336,8.40132076246115,0.246095962479741,0.977451472781334,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI329326",258.791901028101,5.87185459559893,0.245995516451036,0.982639830049821,"Bayesian logistic model of canopy height vs. gdd","RE"
"season_4","PI329333",357.862991891379,14.1998064313551,0.278634623876731,0.994808768210484,"Bayesian logistic model of canopy height vs. gdd","RE"
